城市,年月,最高温,最低温,平均气温
七台河,2023-12,3.0,-31.0,-12.5
七台河,2024-01,-4.0,-29.0,-12.0
七台河,2024-02,9.0,-26.0,-5.5
七台河,2024-03,10.0,-17.0,0.8
七台河,2024-04,29.0,-5.0,15.3
七台河,2024-05,26.0,2.0,18.6
七台河,2024-06,30.0,9.0,20.8
七台河,2024-07,32.0,13.0,27.6
七台河,2024-08,30.0,15.0,26.7
七台河,2024-09,27.0,1.0,20.9
七台河,2024-10,22.0,-4.0,12.9
七台河,2024-11,14.0,-17.0,0.9
三亚,2023-12,33.0,15.0,27.7
三亚,2024-01,30.0,16.0,26.5
三亚,2024-02,31.0,17.0,28.7
三亚,2024-03,33.0,19.0,30.3
三亚,2024-04,34.0,22.0,32.2
三亚,2024-05,35.0,24.0,32.6
三亚,2024-06,36.0,25.0,33.6
三亚,2024-07,34.0,25.0,32.2
三亚,2024-08,35.0,25.0,33.6
三亚,2024-09,35.0,23.0,32.1
三亚,2024-10,34.0,20.0,31.5
三亚,2024-11,33.0,18.0,29.5
三明,2023-12,30.0,0.0,16.9
三明,2024-01,27.0,-1.0,15.8
三明,2024-02,32.0,4.0,18.4
三明,2024-03,34.0,5.0,20.7
三明,2024-04,34.0,15.0,26.7
三明,2024-05,34.0,16.0,28.2
三明,2024-06,37.0,17.0,30.5
三明,2024-07,40.0,24.0,36.5
三明,2024-08,38.0,25.0,34.3
三明,2024-09,37.0,20.0,33.0
三明,2024-10,33.0,14.0,26.6
三明,2024-11,29.0,6.0,22.2
三门峡,2023-12,18.0,-10.0,4.5
三门峡,2024-01,13.0,-10.0,4.2
三门峡,2024-02,17.0,-8.0,5.3
三门峡,2024-03,27.0,-2.0,15.7
三门峡,2024-04,30.0,6.0,21.9
三门峡,2024-05,34.0,9.0,27.1
三门峡,2024-06,39.0,14.0,30.9
三门峡,2024-07,34.0,16.0,29.1
三门峡,2024-08,34.0,17.0,30.4
三门峡,2024-09,33.0,8.0,27.0
三门峡,2024-10,27.0,3.0,19.1
三门峡,2024-11,19.0,-3.0,12.4
上海,2023-12,22.0,-4.0,10.5
上海,2024-01,20.0,-2.0,9.6
上海,2024-02,22.0,0.0,9.5
上海,2024-03,29.0,0.0,16.2
上海,2024-04,27.0,11.0,20.8
上海,2024-05,34.0,14.0,25.5
上海,2024-06,33.0,19.0,27.5
上海,2024-07,39.0,23.0,34.8
上海,2024-08,40.0,26.0,36.1
上海,2024-09,36.0,20.0,30.9
上海,2024-10,31.0,13.0,22.7
上海,2024-11,24.0,5.0,18.1
东莞,2023-12,30.0,5.0,20.6
东莞,2024-01,27.0,3.0,19.9
东莞,2024-02,29.0,7.0,21.4
东莞,2024-03,31.0,8.0,23.5
东莞,2024-04,32.0,19.0,27.6
东莞,2024-05,32.0,21.0,28.3
东莞,2024-06,35.0,23.0,30.5
东莞,2024-07,37.0,25.0,32.8
东莞,2024-08,37.0,25.0,33.0
东莞,2024-09,36.0,22.0,32.4
东莞,2024-10,34.0,19.0,29.7
东莞,2024-11,30.0,12.0,24.3
东营,2023-12,22.0,-13.0,3.2
东营,2024-01,10.0,-10.0,3.5
东营,2024-02,21.0,-8.0,5.5
东营,2024-03,23.0,-2.0,14.4
东营,2024-04,30.0,5.0,21.8
东营,2024-05,35.0,12.0,27.5
东营,2024-06,40.0,17.0,33.0
东营,2024-07,36.0,18.0,31.4
东营,2024-08,37.0,21.0,32.5
东营,2024-09,34.0,12.0,27.2
东营,2024-10,26.0,6.0,20.3
东营,2024-11,23.0,-4.0,14.6
中山,2023-12,30.0,5.0,20.6
中山,2024-01,26.0,3.0,19.5
中山,2024-02,29.0,7.0,20.4
中山,2024-03,31.0,7.0,23.1
中山,2024-04,32.0,19.0,28.3
中山,2024-05,32.0,20.0,27.9
中山,2024-06,34.0,22.0,30.5
中山,2024-07,35.0,24.0,32.5
中山,2024-08,36.0,24.0,32.6
中山,2024-09,35.0,21.0,31.6
中山,2024-10,33.0,19.0,29.0
中山,2024-11,29.0,12.0,23.5
临夏,2023-12,14.0,-19.0,5.6
临夏,2024-01,12.0,-17.0,3.9
临夏,2024-02,19.0,-12.0,4.3
临夏,2024-03,24.0,-10.0,12.4
临夏,2024-04,26.0,1.0,17.7
临夏,2024-05,32.0,3.0,23.5
临夏,2024-06,30.0,8.0,24.8
临夏,2024-07,35.0,10.0,26.8
临夏,2024-08,35.0,10.0,27.9
临夏,2024-09,27.0,3.0,20.2
临夏,2024-10,22.0,-3.0,15.9
临夏,2024-11,18.0,-11.0,9.6
临汾,2023-12,18.0,-14.0,4.5
临汾,2024-01,11.0,-14.0,5.2
临汾,2024-02,17.0,-7.0,6.0
临汾,2024-03,28.0,-5.0,17.3
临汾,2024-04,32.0,7.0,24.6
临汾,2024-05,37.0,11.0,30.5
临汾,2024-06,40.0,16.0,33.8
临汾,2024-07,37.0,20.0,33.3
临汾,2024-08,36.0,18.0,32.2
临汾,2024-09,35.0,9.0,29.2
临汾,2024-10,28.0,4.0,20.8
临汾,2024-11,19.0,-5.0,13.3
临沂,2023-12,21.0,-10.0,5.5
临沂,2024-01,11.0,-8.0,5.4
临沂,2024-02,20.0,-7.0,6.1
临沂,2024-03,24.0,-3.0,14.9
临沂,2024-04,28.0,6.0,22.7
临沂,2024-05,35.0,11.0,27.6
临沂,2024-06,37.0,17.0,31.9
临沂,2024-07,35.0,20.0,30.4
临沂,2024-08,36.0,22.0,32.7
临沂,2024-09,34.0,13.0,29.1
临沂,2024-10,27.0,5.0,20.7
临沂,2024-11,23.0,-1.0,15.1
临沧县,2023-12,22.0,5.0,19.4
临沧县,2024-01,22.0,3.0,19.1
临沧县,2024-02,26.0,2.0,21.8
临沧县,2024-03,28.0,6.0,25.7
临沧县,2024-04,32.0,11.0,28.2
临沧县,2024-05,32.0,12.0,26.6
临沧县,2024-06,31.0,17.0,26.7
临沧县,2024-07,31.0,18.0,25.4
临沧县,2024-08,30.0,17.0,26.9
临沧县,2024-09,30.0,15.0,26.2
临沧县,2024-10,28.0,13.0,24.1
临沧县,2024-11,25.0,6.0,20.4
丹东,2023-12,11.0,-23.0,-1.2
丹东,2024-01,5.0,-18.0,-1.0
丹东,2024-02,9.0,-10.0,2.9
丹东,2024-03,19.0,-9.0,8.7
丹东,2024-04,24.0,4.0,17.8
丹东,2024-05,25.0,7.0,20.6
丹东,2024-06,34.0,11.0,26.0
丹东,2024-07,32.0,18.0,27.0
丹东,2024-08,33.0,19.0,30.2
丹东,2024-09,32.0,9.0,26.4
丹东,2024-10,23.0,2.0,18.0
丹东,2024-11,22.0,-8.0,10.4
丽水,2023-12,24.0,-4.0,13.7
丽水,2024-01,25.0,-6.0,13.5
丽水,2024-02,29.0,0.0,13.2
丽水,2024-03,33.0,0.0,19.7
丽水,2024-04,33.0,12.0,24.8
丽水,2024-05,35.0,12.0,27.4
丽水,2024-06,37.0,15.0,27.9
丽水,2024-07,41.0,25.0,37.7
丽水,2024-08,42.0,24.0,38.1
丽水,2024-09,38.0,18.0,32.2
丽水,2024-10,33.0,12.0,23.5
丽水,2024-11,26.0,3.0,19.9
丽江,2023-12,18.0,-3.0,14.9
丽江,2024-01,16.0,-3.0,13.5
丽江,2024-02,18.0,-4.0,14.3
丽江,2024-03,23.0,3.0,19.0
丽江,2024-04,26.0,8.0,20.9
丽江,2024-05,28.0,8.0,22.2
丽江,2024-06,28.0,14.0,24.1
丽江,2024-07,27.0,13.0,23.5
丽江,2024-08,29.0,11.0,24.7
丽江,2024-09,28.0,12.0,23.0
丽江,2024-10,23.0,7.0,19.9
丽江,2024-11,21.0,-1.0,16.9
乌海,2023-12,14.0,-26.0,0.0
乌海,2024-01,9.0,-24.0,0.1
乌海,2024-02,16.0,-16.0,2.4
乌海,2024-03,27.0,-12.0,13.3
乌海,2024-04,28.0,2.0,21.4
乌海,2024-05,35.0,6.0,28.6
乌海,2024-06,36.0,12.0,30.1
乌海,2024-07,39.0,17.0,33.2
乌海,2024-08,36.0,14.0,30.2
乌海,2024-09,30.0,0.0,21.5
乌海,2024-10,23.0,-2.0,17.9
乌海,2024-11,18.0,-11.0,9.9
乌鲁木齐,2023-12,3.0,-27.0,-6.3
乌鲁木齐,2024-01,1.0,-20.0,-7.0
乌鲁木齐,2024-02,3.0,-25.0,-8.1
乌鲁木齐,2024-03,21.0,-13.0,7.3
乌鲁木齐,2024-04,29.0,-2.0,19.6
乌鲁木齐,2024-05,37.0,3.0,28.4
乌鲁木齐,2024-06,36.0,6.0,31.2
乌鲁木齐,2024-07,37.0,15.0,29.4
乌鲁木齐,2024-08,37.0,14.0,29.2
乌鲁木齐,2024-09,29.0,2.0,19.7
乌鲁木齐,2024-10,23.0,0.0,14.1
乌鲁木齐,2024-11,16.0,-12.0,3.8
乐山,2023-12,19.0,0.0,13.0
乐山,2024-01,17.0,2.0,11.7
乐山,2024-02,21.0,3.0,13.4
乐山,2024-03,29.0,6.0,19.9
乐山,2024-04,32.0,13.0,24.8
乐山,2024-05,36.0,14.0,27.7
乐山,2024-06,34.0,19.0,28.8
乐山,2024-07,35.0,22.0,30.0
乐山,2024-08,39.0,22.0,35.1
乐山,2024-09,36.0,16.0,31.4
乐山,2024-10,27.0,13.0,21.2
乐山,2024-11,24.0,6.0,17.3
九江,2023-12,23.0,-2.0,10.7
九江,2024-01,21.0,-3.0,9.8
九江,2024-02,27.0,-1.0,9.1
九江,2024-03,31.0,2.0,18.4
九江,2024-04,29.0,12.0,22.7
九江,2024-05,34.0,14.0,26.7
九江,2024-06,34.0,18.0,27.7
九江,2024-07,38.0,24.0,34.0
九江,2024-08,38.0,25.0,34.5
九江,2024-09,39.0,18.0,32.3
九江,2024-10,29.0,10.0,22.3
九江,2024-11,26.0,3.0,18.1
云浮,2023-12,29.0,4.0,19.9
云浮,2024-01,26.0,2.0,18.4
云浮,2024-02,29.0,7.0,19.1
云浮,2024-03,32.0,5.0,22.4
云浮,2024-04,35.0,18.0,28.6
云浮,2024-05,32.0,18.0,28.2
云浮,2024-06,36.0,22.0,31.5
云浮,2024-07,38.0,25.0,33.4
云浮,2024-08,37.0,24.0,33.9
云浮,2024-09,36.0,22.0,31.7
云浮,2024-10,33.0,15.0,28.9
云浮,2024-11,31.0,10.0,25.1
亳州,2023-12,22.0,-9.0,7.3
亳州,2024-01,17.0,-8.0,7.2
亳州,2024-02,22.0,-7.0,7.2
亳州,2024-03,26.0,0.0,16.2
亳州,2024-04,29.0,6.0,23.0
亳州,2024-05,35.0,12.0,29.1
亳州,2024-06,39.0,18.0,33.9
亳州,2024-07,39.0,20.0,32.3
亳州,2024-08,37.0,22.0,33.6
亳州,2024-09,36.0,13.0,28.7
亳州,2024-10,28.0,7.0,21.9
亳州,2024-11,24.0,1.0,16.5
伊宁,2023-12,12.0,-24.0,2.0
伊宁,2024-01,8.0,-16.0,1.5
伊宁,2024-02,10.0,-18.0,0.2
伊宁,2024-03,22.0,-9.0,8.6
伊宁,2024-04,26.0,2.0,19.2
伊宁,2024-05,33.0,8.0,24.9
伊宁,2024-06,35.0,13.0,30.5
伊宁,2024-07,37.0,16.0,30.9
伊宁,2024-08,36.0,13.0,30.2
伊宁,2024-09,30.0,2.0,22.9
伊宁,2024-10,26.0,0.0,17.4
伊宁,2024-11,19.0,-4.0,9.8
伊春,2023-12,-1.0,-34.0,-13.8
伊春,2024-01,-6.0,-35.0,-12.7
伊春,2024-02,5.0,-31.0,-5.5
伊春,2024-03,13.0,-22.0,1.5
伊春,2024-04,26.0,-8.0,13.9
伊春,2024-05,24.0,-1.0,18.1
伊春,2024-06,29.0,7.0,21.5
伊春,2024-07,33.0,11.0,28.4
伊春,2024-08,30.0,11.0,25.8
伊春,2024-09,27.0,-3.0,19.9
伊春,2024-10,21.0,-7.0,11.2
伊春,2024-11,8.0,-22.0,-0.8
佛山,2023-12,30.0,4.0,19.2
佛山,2024-01,27.0,3.0,18.7
佛山,2024-02,28.0,6.0,19.1
佛山,2024-03,31.0,8.0,22.5
佛山,2024-04,34.0,19.0,27.9
佛山,2024-05,32.0,20.0,28.3
佛山,2024-06,36.0,24.0,31.4
佛山,2024-07,38.0,25.0,34.1
佛山,2024-08,38.0,25.0,34.2
佛山,2024-09,37.0,22.0,32.9
佛山,2024-10,33.0,19.0,29.6
佛山,2024-11,31.0,12.0,25.1
佳木斯,2023-12,1.0,-31.0,-11.6
佳木斯,2024-01,-3.0,-29.0,-11.7
佳木斯,2024-02,7.0,-26.0,-4.6
佳木斯,2024-03,11.0,-18.0,2.0
佳木斯,2024-04,27.0,-4.0,15.6
佳木斯,2024-05,26.0,3.0,19.5
佳木斯,2024-06,30.0,9.0,21.2
佳木斯,2024-07,33.0,14.0,28.2
佳木斯,2024-08,31.0,15.0,26.8
佳木斯,2024-09,29.0,2.0,21.4
佳木斯,2024-10,23.0,-4.0,13.5
佳木斯,2024-11,13.0,-21.0,0.7
保定,2023-12,17.0,-21.0,1.8
保定,2024-01,6.0,-15.0,2.6
保定,2024-02,14.0,-10.0,5.2
保定,2024-03,23.0,-5.0,15.6
保定,2024-04,30.0,5.0,22.6
保定,2024-05,34.0,10.0,27.4
保定,2024-06,41.0,14.0,34.5
保定,2024-07,38.0,15.0,31.6
保定,2024-08,34.0,16.0,31.2
保定,2024-09,31.0,8.0,26.0
保定,2024-10,25.0,0.0,19.6
保定,2024-11,18.0,-6.0,13.4
保山,2023-12,22.0,1.0,18.0
保山,2024-01,20.0,0.0,16.3
保山,2024-02,21.0,0.0,18.0
保山,2024-03,29.0,2.0,22.9
保山,2024-04,28.0,9.0,25.3
保山,2024-05,29.0,10.0,24.7
保山,2024-06,31.0,17.0,26.7
保山,2024-07,30.0,18.0,25.8
保山,2024-08,30.0,16.0,26.7
保山,2024-09,30.0,16.0,27.0
保山,2024-10,27.0,11.0,23.3
保山,2024-11,25.0,4.0,20.1
信阳,2023-12,23.0,-7.0,9.0
信阳,2024-01,21.0,-6.0,8.8
信阳,2024-02,23.0,-6.0,7.4
信阳,2024-03,29.0,0.0,17.9
信阳,2024-04,30.0,6.0,22.6
信阳,2024-05,36.0,12.0,28.8
信阳,2024-06,39.0,19.0,31.9
信阳,2024-07,38.0,22.0,31.6
信阳,2024-08,38.0,20.0,34.3
信阳,2024-09,38.0,14.0,29.4
信阳,2024-10,29.0,8.0,22.4
信阳,2024-11,24.0,2.0,17.0
克州,2023-12,22.0,-10.0,4.0
克州,2024-01,8.0,-12.0,2.2
克州,2024-02,16.0,-7.0,4.6
克州,2024-03,25.0,-2.0,15.5
克州,2024-04,30.0,5.0,22.6
克州,2024-05,34.0,10.0,28.9
克州,2024-06,37.0,13.0,30.5
克州,2024-07,39.0,16.0,32.2
克州,2024-08,34.0,17.0,30.2
克州,2024-09,32.0,12.0,26.6
克州,2024-10,27.0,3.0,20.5
克州,2024-11,20.0,-3.0,11.9
克拉玛依,2023-12,6.0,-23.0,-8.1
克拉玛依,2024-01,-2.0,-23.0,-10.5
克拉玛依,2024-02,-3.0,-29.0,-10.0
克拉玛依,2024-03,20.0,-14.0,6.5
克拉玛依,2024-04,28.0,1.0,19.1
克拉玛依,2024-05,36.0,12.0,26.8
克拉玛依,2024-06,39.0,15.0,31.9
克拉玛依,2024-07,39.0,16.0,32.5
克拉玛依,2024-08,39.0,17.0,32.2
克拉玛依,2024-09,29.0,4.0,21.5
克拉玛依,2024-10,24.0,3.0,15.5
克拉玛依,2024-11,13.0,-11.0,3.3
六安,2023-12,25.0,-6.0,9.1
六安,2024-01,20.0,-6.0,8.5
六安,2024-02,27.0,-6.0,8.2
六安,2024-03,32.0,-1.0,17.9
六安,2024-04,29.0,7.0,22.4
六安,2024-05,34.0,13.0,27.2
六安,2024-06,36.0,17.0,30.2
六安,2024-07,38.0,22.0,33.0
六安,2024-08,38.0,23.0,34.9
六安,2024-09,38.0,14.0,29.8
六安,2024-10,27.0,8.0,21.9
六安,2024-11,25.0,3.0,17.5
六盘水,2023-12,24.0,-2.0,11.8
六盘水,2024-01,21.0,-3.0,9.8
六盘水,2024-02,28.0,0.0,12.9
六盘水,2024-03,29.0,1.0,17.7
六盘水,2024-04,33.0,9.0,22.9
六盘水,2024-05,31.0,8.0,22.4
六盘水,2024-06,29.0,14.0,23.5
六盘水,2024-07,33.0,16.0,28.1
六盘水,2024-08,34.0,15.0,30.1
六盘水,2024-09,32.0,10.0,26.7
六盘水,2024-10,25.0,7.0,19.5
六盘水,2024-11,25.0,2.0,15.5
兰州,2023-12,15.0,-15.0,4.1
兰州,2024-01,10.0,-13.0,2.6
兰州,2024-02,19.0,-10.0,3.0
兰州,2024-03,24.0,-7.0,11.4
兰州,2024-04,25.0,6.0,17.5
兰州,2024-05,31.0,8.0,23.0
兰州,2024-06,33.0,12.0,26.0
兰州,2024-07,38.0,15.0,31.1
兰州,2024-08,38.0,16.0,31.4
兰州,2024-09,31.0,5.0,22.7
兰州,2024-10,23.0,0.0,17.6
兰州,2024-11,18.0,-7.0,10.9
凯里,2023-12,26.0,-2.0,13.6
凯里,2024-01,20.0,-5.0,10.0
凯里,2024-02,29.0,-2.0,10.1
凯里,2024-03,31.0,1.0,19.6
凯里,2024-04,33.0,11.0,24.0
凯里,2024-05,35.0,12.0,24.3
凯里,2024-06,33.0,16.0,26.0
凯里,2024-07,38.0,21.0,31.7
凯里,2024-08,35.0,21.0,31.8
凯里,2024-09,35.0,15.0,30.4
凯里,2024-10,29.0,8.0,21.8
凯里,2024-11,28.0,3.0,18.8
包头,2023-12,11.0,-28.0,-3.8
包头,2024-01,2.0,-25.0,-5.0
包头,2024-02,11.0,-20.0,-0.6
包头,2024-03,23.0,-15.0,11.0
包头,2024-04,28.0,1.0,21.1
包头,2024-05,35.0,4.0,27.5
包头,2024-06,35.0,12.0,28.5
包头,2024-07,37.0,16.0,30.8
包头,2024-08,32.0,14.0,27.5
包头,2024-09,26.0,3.0,20.1
包头,2024-10,23.0,-2.0,15.7
包头,2024-11,14.0,-8.0,7.4
北京,2023-12,12.0,-16.0,1.6
北京,2024-01,7.0,-11.0,2.6
北京,2024-02,15.0,-8.0,5.9
北京,2024-03,23.0,-4.0,14.7
北京,2024-04,29.0,5.0,21.8
北京,2024-05,32.0,11.0,27.1
北京,2024-06,37.0,15.0,32.7
北京,2024-07,37.0,18.0,31.8
北京,2024-08,35.0,18.0,31.0
北京,2024-09,32.0,10.0,25.4
北京,2024-10,24.0,1.0,18.9
北京,2024-11,20.0,-5.0,13.1
北海,2023-12,27.0,6.0,20.3
北海,2024-01,25.0,4.0,19.0
北海,2024-02,29.0,7.0,19.0
北海,2024-03,30.0,9.0,23.1
北海,2024-04,32.0,20.0,29.0
北海,2024-05,32.0,22.0,29.4
北海,2024-06,33.0,25.0,31.6
北海,2024-07,34.0,25.0,32.1
北海,2024-08,33.0,25.0,31.6
北海,2024-09,36.0,23.0,31.2
北海,2024-10,33.0,18.0,29.3
北海,2024-11,31.0,13.0,26.6
南京,2023-12,22.0,-7.0,8.9
南京,2024-01,18.0,-6.0,8.3
南京,2024-02,26.0,-3.0,7.9
南京,2024-03,31.0,-1.0,16.4
南京,2024-04,27.0,7.0,21.7
南京,2024-05,33.0,12.0,26.0
南京,2024-06,35.0,17.0,29.0
南京,2024-07,38.0,22.0,33.4
南京,2024-08,40.0,25.0,35.5
南京,2024-09,38.0,16.0,30.7
南京,2024-10,28.0,9.0,21.5
南京,2024-11,25.0,3.0,17.5
南充,2023-12,17.0,1.0,11.9
南充,2024-01,16.0,1.0,10.4
南充,2024-02,22.0,1.0,12.0
南充,2024-03,29.0,6.0,19.2
南充,2024-04,32.0,14.0,24.1
南充,2024-05,37.0,13.0,27.1
南充,2024-06,36.0,18.0,27.7
南充,2024-07,37.0,22.0,31.8
南充,2024-08,40.0,22.0,36.2
南充,2024-09,40.0,15.0,35.2
南充,2024-10,28.0,12.0,21.9
南充,2024-11,23.0,5.0,16.5
南平,2023-12,29.0,1.0,16.2
南平,2024-01,26.0,0.0,15.1
南平,2024-02,31.0,4.0,17.0
南平,2024-03,31.0,4.0,20.0
南平,2024-04,35.0,14.0,25.7
南平,2024-05,34.0,16.0,28.4
南平,2024-06,38.0,18.0,29.8
南平,2024-07,39.0,24.0,35.9
南平,2024-08,38.0,25.0,34.9
南平,2024-09,36.0,20.0,32.9
南平,2024-10,32.0,14.0,26.4
南平,2024-11,29.0,5.0,22.1
南昌,2023-12,23.0,-3.0,11.6
南昌,2024-01,20.0,-4.0,11.2
南昌,2024-02,28.0,0.0,10.0
南昌,2024-03,32.0,2.0,18.8
南昌,2024-04,29.0,13.0,23.0
南昌,2024-05,34.0,16.0,27.4
南昌,2024-06,34.0,18.0,27.5
南昌,2024-07,39.0,24.0,35.0
南昌,2024-08,38.0,25.0,35.1
南昌,2024-09,38.0,20.0,33.3
南昌,2024-10,30.0,13.0,24.2
南昌,2024-11,27.0,6.0,19.9
南通,2023-12,23.0,-7.0,9.5
南通,2024-01,18.0,-6.0,8.3
南通,2024-02,22.0,-3.0,8.4
南通,2024-03,30.0,-2.0,15.1
南通,2024-04,26.0,6.0,20.2
南通,2024-05,33.0,9.0,25.6
南通,2024-06,33.0,15.0,28.3
南通,2024-07,38.0,21.0,34.5
南通,2024-08,39.0,24.0,35.4
南通,2024-09,35.0,18.0,30.4
南通,2024-10,30.0,9.0,22.0
南通,2024-11,24.0,1.0,17.4
南阳,2023-12,22.0,-6.0,8.0
南阳,2024-01,14.0,-6.0,7.8
南阳,2024-02,21.0,-5.0,7.5
南阳,2024-03,27.0,0.0,17.0
南阳,2024-04,29.0,8.0,22.5
南阳,2024-05,35.0,9.0,28.8
南阳,2024-06,39.0,17.0,31.7
南阳,2024-07,36.0,20.0,30.9
南阳,2024-08,37.0,22.0,33.1
南阳,2024-09,37.0,12.0,30.2
南阳,2024-10,28.0,6.0,22.4
南阳,2024-11,25.0,0.0,16.6
博州,2023-12,4.0,-28.0,-6.7
博州,2024-01,-2.0,-22.0,-8.5
博州,2024-02,-1.0,-26.0,-8.0
博州,2024-03,19.0,-15.0,6.2
博州,2024-04,26.0,0.0,18.5
博州,2024-05,33.0,8.0,24.7
博州,2024-06,35.0,12.0,30.2
博州,2024-07,37.0,16.0,30.2
博州,2024-08,36.0,14.0,30.4
博州,2024-09,29.0,2.0,21.7
博州,2024-10,25.0,1.0,16.1
博州,2024-11,18.0,-10.0,8.1
厦门,2023-12,29.0,6.0,19.8
厦门,2024-01,25.0,5.0,17.9
厦门,2024-02,28.0,4.0,19.0
厦门,2024-03,29.0,8.0,21.0
厦门,2024-04,32.0,16.0,25.1
厦门,2024-05,31.0,17.0,26.0
厦门,2024-06,33.0,19.0,29.3
厦门,2024-07,39.0,25.0,32.7
厦门,2024-08,36.0,25.0,32.4
厦门,2024-09,34.0,22.0,31.1
厦门,2024-10,31.0,20.0,27.9
厦门,2024-11,30.0,11.0,24.1
双鸭山,2023-12,2.0,-28.0,-10.9
双鸭山,2024-01,-3.0,-25.0,-11.5
双鸭山,2024-02,8.0,-22.0,-4.6
双鸭山,2024-03,11.0,-16.0,1.5
双鸭山,2024-04,28.0,-4.0,15.2
双鸭山,2024-05,25.0,4.0,18.6
双鸭山,2024-06,30.0,8.0,21.0
双鸭山,2024-07,33.0,13.0,27.5
双鸭山,2024-08,31.0,15.0,26.6
双鸭山,2024-09,29.0,4.0,21.3
双鸭山,2024-10,23.0,-3.0,12.8
双鸭山,2024-11,12.0,-15.0,0.7
合作,2023-12,12.0,-21.0,5.5
合作,2024-01,10.0,-22.0,3.5
合作,2024-02,16.0,-20.0,4.3
合作,2024-03,19.0,-13.0,8.4
合作,2024-04,22.0,-7.0,12.8
合作,2024-05,25.0,-5.0,16.5
合作,2024-06,23.0,0.0,18.2
合作,2024-07,27.0,5.0,20.8
合作,2024-08,29.0,4.0,23.3
合作,2024-09,27.0,0.0,19.5
合作,2024-10,19.0,-9.0,12.0
合作,2024-11,18.0,-20.0,6.8
合肥,2023-12,24.0,-9.0,8.8
合肥,2024-01,19.0,-7.0,8.2
合肥,2024-02,26.0,-5.0,7.7
合肥,2024-03,30.0,-1.0,17.2
合肥,2024-04,28.0,7.0,22.1
合肥,2024-05,33.0,11.0,26.5
合肥,2024-06,36.0,15.0,30.1
合肥,2024-07,39.0,21.0,32.7
合肥,2024-08,38.0,23.0,34.9
合肥,2024-09,37.0,14.0,30.2
合肥,2024-10,27.0,5.0,21.9
